Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Allan Winans","NYY",0.878342,2.50081,0.0599239,5.00218,9.78403,2.76945,0,0,0,22.5218,97.7965,23.5317,13.6061,12.5176,3.29098,7.67371,0.324701,1.05264,17.8916,7.14972,3.06651,2.33155,1.31512,0.182947,0.0784661,0.10448126494884491,0.264193,1.38556,0.29815,0.661678,,,4.63966,0.0527551,-0.046857,999,2.15841,-1.44002,1.01985,2.15841,1.44002,3.6402,79.9,3.473913043478261,85,3.6956521739130435,,,,,,,,,,,,,,,,,,,"Allan Winans","21238",642216
"Hunter Barco","PIT",0,0.56341,0.563124,4.4369,1.43789,1.40736,0,0,0,6.60073,28.6028,6.40368,3.53705,3.25409,0.845675,2.66259,0,0.328386,5.34587,7.28902,3.63041,2.00777,1.15307,0.1869,0.0930886,0.0938117727637291,0.250028,1.37353,0.286196,0.701471,,,4.57162,0.0527219,0.0475742,999,0.340028,0.572056,1.3807,0.340028,-0.572056,3.15907,24.9,3.557142857142857,23,3.2857142857142856,,,,,,,,,,,,,,,,,,,"Hunter Barco","sa3022409",682995
"Carson Palmquist","COL",1.01796,1.22866,0.931914,5.19504,3.70222,2.96795,0,0,0,17.1595,75.9895,17.4887,10.7662,9.90491,3.01189,7.61081,0,0.955871,15.305,8.02733,3.9918,2.01095,1.57971,0.201409,0.100156,0.10125304758548737,0.259389,1.46272,0.294808,0.686367,,,5.16215,0.0525117,0.0809069,999,1.03574,0.823626,1.04076,1.03574,-0.823626,3.61232,47.7,2.8058823529411767,49,2.8823529411764706,,,,,,,,,,,,,,,,,,,"Carson Palmquist","sa3020473",687223
"José Urquidy",,1.15096,0.811636,0.613496,4.66711,3.87436,2.86728,0.0009991,0,0,16.2838,68.8429,16.0772,9.17855,8.44427,2.83482,4.81237,0.0798446,0.567371,12.4324,6.87134,2.65978,2.58343,1.56679,0.180591,0.0699037,0.11068747192621231,0.253331,1.28284,0.274761,0.692107,,,4.89378,0.0519556,0.0832041,999,1.15231,1.01626,1.17977,1.15231,-1.01626,3.42698,45.9,2.86875,47,2.9375,,,,,,,,,,,,,,,,,,,"Jose Urquidy","18413",664353
"Rob Zastryzny","NYY",0.344719,0.065404,0,4.30527,8.32498,0.894871,0,0.288708,0.105776,7.80278,34.1047,7.37504,4.05713,3.73256,0.934756,3.5638,0.129537,0.459752,7.52281,8.67708,4.11062,2.11089,1.07818,0.22058,0.104496,0.11608406156301498,0.245172,1.40192,0.297837,0.714598,,,4.34258,0.0511148,0.0504339,999,1.21489,-0.225695,1.32824,1.21489,0.225695,3.22901,32.7,4.0875,31,3.875,,,,,,,,,,,,,,,,,,,"Rob Zastryzny","15094",642239
"Luis Curvelo","TEX",1.38115,1.22251,0,4.51949,29.9173,0,0.0473996,2.98883,0,31.4274,133.347,29.3553,17.1541,15.7818,4.44076,11.0191,0.56208,1.51929,30.3757,8.69882,3.1556,2.75663,1.27172,0.227794,0.0826347,0.14515893161296844,0.24299,1.28469,0.289729,0.679806,,,4.26723,0.0509689,-0.10487,999,1.48298,0.484984,0.939765,1.48298,-0.484984,3.74698,137.79999999999998,4.44516129032258,136,4.387096774193548,,,,,,,,,,,,,,,,,,,"Luis Curvelo","sa3008169",681168
"Phil Bickford","CHC",0.774991,0.758252,0,4.88033,14.1484,0,0.000901902,0.93018,0.295322,16.1942,69.0337,14.643,9.54502,8.78142,2.07781,6.15088,0.318854,1.1148,16.7738,9.32214,3.41839,2.72705,1.15475,0.24298,0.0890998,0.15388013422489166,0.237064,1.28403,0.292783,0.628956,,,4.10885,0.050357,-0.169915,999,2.1928,0.290543,1.15862,2.1928,-0.290543,3.45518,71.80000000000001,4.487500000000001,71,4.4375,,,,,,,,,,,,,,,,,,,"Phil Bickford","18519",641360
"Jorge López","WSN",2.74234,3.40761,0,4.13236,58.2856,0,7.55074,12.6838,2.67513,61.0324,263.308,59.1043,30.4599,28.0231,7.58416,22.2413,1.69952,4.25608,54.0102,7.96449,3.27976,2.42838,1.11838,0.205122,0.0844686,0.12065300345420837,0.249584,1.33283,0.294037,0.719459,,,4.31449,0.0503503,0.189066,406.2099914550781,1.6291,-0.110235,0.843793,1.6291,0.110235,3.87494,321.60000000000014,5.2721311475409856,323,5.295081967213115,,,,,,,,,,,,,,,,,,,"Jorge Lopez","14527",605347
"Cristian Mena","ARI",0.661666,0.820897,0.552894,4.42582,10.8012,2.03798,0,0.656841,0,17.8948,77.7111,17.691,9.56512,8.79991,2.31239,7.27819,0.304713,0.667964,16.8138,8.45631,3.66049,2.31016,1.16299,0.216363,0.0936571,0.12270577996969223,0.25358,1.39533,0.303693,0.708825,,,4.29932,0.0492522,0.0532839,999,1.64998,-0.823909,1.14148,1.64998,0.823909,3.47803,75.80000000000003,4.211111111111112,78,4.333333333333333,,,,,,,,,,,,,,,,,,,"Cristian Mena","27974",691441
"Justin Wrobleski","LAD",1.62474,1.47533,0.440704,4.5923,21.8863,1.36711,0.369671,0.818206,0,29.8943,127.592,28.8423,16.5802,15.2537,4.4753,10.6807,0.387696,1.07634,26.8786,8.09207,3.21553,2.51656,1.34734,0.210661,0.0837097,0.12695086002349854,0.248995,1.32209,0.288432,0.689853,,,4.49425,0.0492477,-0.0830755,749.8800048828125,1.99143,-0.59193,0.923328,1.99143,0.59193,3.7689,119.4,3.98,120,4,,,,,,,,,,,,,,,,,,,"Justin Wrobleski","31204",680736
