ID,Player,Team,Position,RkOv,Status,Age,Opponent,Score,%D,ADP,Ros,IP,QS,SV,HLD,K,ERA,WHIP,GP
*051aa*,Porter Hodge,CHC,RP,260,FA,24,@ARI Thu 7:10PM,66.94,90%,295.03,86%,61,0,14,11,75,3.1,1.148,56
*05js3*,Kyle Harrison,SF,SP,124,FA,23,@CIN Thu 1:10PM,78.22,90%,296.11,91%,149,14,0,0,152,4.23,1.268,28
*05r3i*,Andrew Painter,PHI,SP,720,FA,21,@WSH Thu 1:05PM,36.03,89%,296.65,93%,50,6,0,0,53,3.96,1.2,10
*04yid*,Ryne Nelson,ARI,SP,418,FA,27,CHC Thu 7:10PM,54.85,93%,297.15,74%,108,3,0,0,91,4.17,1.259,24
*04eee*,Drew Rasmussen,TB,"SP,RP",439,FA,29,,53.7,92%,297.5,86%,84,1,0,3,96,3.32,1.095,40
*0516h*,DJ Herz,WSH,SP,143,FA,24,PHI Thu 1:05PM,77.06,91%,298.94,89%,137,14,0,0,147,4.07,1.241,26
*03qo0*,Pete Fairbanks,TB,RP,366,FA,31,,59.34,96%,301.38,91%,49,0,26,2,64,3.12,1.061,50
*0514o*,Cody Bradford,TEX,SP,189,FA,27,BOS Thu 1:05PM,71.99,90%,302.35,82%,129,13,0,0,115,4.12,1.147,24
*060eu*,Ben Joyce,LAA,RP,533,FA,24,@CHW Thu 1:10PM,48.3,93%,306.91,87%,43,0,19,4,49,3.56,1.209,42
*04g1x*,David Peterson,NYM,SP,262,FA,29,@HOU Thu 1:10PM,66.77,89%,308.46,78%,110,12,0,0,107,3.85,1.309,21
*05gwz*,Bobby Miller,LAD,SP,797,FA,25,DET Thu 4:10PM,31.76,86%,310.44,85%,51,5,0,0,48,4.76,1.392,10
*03d6v*,Michael Kopech,LAD,RP,363,FA,28,DET Thu 4:10PM,59.49,87%,312.29,77%,53,0,8,15,69,3.74,1.189,54
*05yav*,David Festa,MIN,SP,155,FA,24,@STL Thu 1:15PM,75.66,91%,312.6,86%,124,13,0,0,155,3.92,1.234,24
*02n4s*,Matthew Boyd,CHC,SP,164,FA,34,@ARI Thu 7:10PM,74.49,90%,312.73,75%,123,13,0,0,137,3.73,1.187,22
*03ann*,Jeff Hoffman,TOR,RP,337,FA,32,BAL Thu 12:07PM,61.79,94%,313.15,90%,63,0,19,0,92,3.43,1.095,64
*061bo*,Rhett Lowder,CIN,SP,505,FA,22,SF Thu 1:10PM,50.05,88%,316.49,89%,81,9,0,0,63,4.11,1.321,16
*02yg3*,Frankie Montas,NYM,SP,100,FA,31,@HOU Thu 1:10PM,80.42,89%,317.09,72%,163,15,0,0,156,4.36,1.368,30
*04ppz*,Jake Irvin,WSH,SP,82,FA,28,PHI Thu 1:05PM,82.68,88%,318.45,78%,172,17,0,0,143,4.24,1.273,32
*031bl*,Kyle Finnegan,WSH,RP,471,FA,33,PHI Thu 1:05PM,51.86,77%,327.15,74%,67,0,10,0,63,3.9,1.328,66
*031d4*,Zack Littell,TB,SP,114,FA,29,,79.69,89%,328.16,74%,147,16,0,0,135,3.86,1.19,28
*029si*,Eduardo Rodriguez,ARI,SP,186,FA,31,CHC Thu 7:10PM,72.28,89%,328.71,76%,130,13,0,0,121,4.08,1.269,24
*041yb*,Dean Kremer,BAL,SP,213,FA,29,@TOR Thu 12:07PM,70.45,86%,328.78,71%,129,12,0,0,123,4.33,1.326,24
*02i37*,Lucas Giolito,BOS,SP,194,FA,30,@TEX Thu 1:05PM,71.71,87%,328.89,82%,134,11,0,0,146,4.57,1.343,24
*02bx4*,Clay Holmes,NYM,RP,399,FA,31,@HOU Thu 1:10PM,56.15,90%,331.77,91%,92,2,0,0,93,4.11,1.348,53
*04ali*,Edward Cabrera,MIA,SP,261,FA,26,PIT Thu 1:10PM,66.94,88%,333.05,78%,109,11,0,0,123,4.05,1.303,21
*05acp*,Justin Martinez,ARI,RP,246,FA,23,CHC Thu 7:10PM,67.44,84%,335.05,89%,69,0,24,3,86,3.26,1.304,62
*0596g*,Reid Detmers,LAA,SP,125,FA,25,@CHW Thu 1:10PM,78.19,86%,336.98,78%,136,14,0,0,166,4.17,1.316,26
*04b01*,Tomoyuki Sugano,BAL,SP,175,FA,35,@TOR Thu 12:07PM,73.65,87%,337.08,84%,138,14,0,0,104,3.72,1.217,24
*0317q*,Griffin Jax,MIN,RP,146,FA,30,@STL Thu 1:15PM,76.65,90%,338.34,83%,69,0,6,25,82,3,1.043,69
*005jn*,Charlie Morton,BAL,SP,93,FA,41,@TOR Thu 12:07PM,81,89%,339.13,77%,163,15,0,0,163,4.31,1.368,30
*05jq2*,Andrew Abbott,CIN,SP,129,FA,25,SF Thu 1:10PM,77.91,87%,339.15,80%,154,14,0,0,148,4.38,1.299,28
*05xsq*,Luis Ortiz,CLE,"SP,RP",243,FA,26,@KC Thu 1:10PM,67.56,88%,343.1,74%,130,12,0,0,103,4.5,1.408,24
*04c0o*,Jose Soriano,LAA,SP,207,FA,26,@CHW Thu 1:10PM,70.82,85%,345.24,76%,121,13,0,0,114,3.79,1.306,23
*03di6*,Jordan Romano,PHI,RP,588,FA,31,@WSH Thu 1:05PM,44.19,79%,346.84,81%,50,0,10,0,57,4.14,1.22,52
*03yso*,A.J. Puk,ARI,RP,127,FA,29,CHC Thu 7:10PM,77.99,77%,349.09,81%,70,0,14,21,93,3.47,1.143,71
*03mnq*,Carlos Estevez,KC,RP,387,FA,32,CLE Thu 1:10PM,56.77,80%,349.4,82%,59,0,23,0,57,3.66,1.22,59
*06650*,Hayden Birdsong,SF,SP,250,FA,23,@CIN Thu 1:10PM,67.37,86%,350.02,76%,110,11,0,0,135,4.34,1.345,22
*03dbo*,Jordan Montgomery,ARI,SP,541,FA,32,CHC Thu 7:10PM,47.86,86%,352.73,60%,93,1,0,0,80,4.06,1.301,24
*04eld*,J.P. Sears,ATH,SP,132,FA,29,@SEA Thu 7:10PM,77.79,83%,353.36,60%,183,14,0,0,137,5.07,1.415,32
*04mnw*,Ryan Weathers,MIA,SP,287,FA,25,PIT Thu 1:10PM,65.33,86%,354.99,73%,129,11,0,0,106,4.95,1.465,26
*04aoq*,Jason Foley,DET,RP,335,FA,29,@LAD Thu 4:10PM,62.1,79%,361.92,79%,64,0,29,2,51,3.38,1.234,68
*004ee*,Max Scherzer,TOR,SP,348,FA,40,BAL Thu 12:07PM,60.4,91%,363.05,85%,99,9,0,0,100,4.27,1.212,18
*01svz*,Kenley Jansen,LAA,RP,467,FA,37,@CHW Thu 1:10PM,52,83%,363.79,81%,51,0,21,0,57,3.71,1.176,54
*01ub8*,Liam Hendriks,BOS,RP,547,FA,36,@TEX Thu 1:05PM,47.5,72%,370.79,65%,48,0,20,0,50,3.75,1.292,47
*04ni3*,Luis Garcia,HOU,SP,288,FA,28,NYM Thu 1:10PM,65.31,78%,371.37,69%,104,11,0,0,119,4.15,1.279,20
*026mq*,Tyler Anderson,LAA,SP,141,FA,35,@CHW Thu 1:10PM,77.16,82%,373.14,57%,168,14,0,0,137,4.61,1.417,30
*05xod*,Sean Burke,CHW,SP,162,FA,25,LAA Thu 1:10PM,74.68,84%,374.05,71%,135,13,0,0,146,4.27,1.348,26
*03d6p*,Grant Holmes,ATL,"SP,RP",214,FA,28,@SD Thu 1:10PM,70.31,77%,379.37,73%,103,13,0,2,114,3.58,1.146,21
*04eor*,Cade Smith,CLE,RP,138,FA,25,@KC Thu 1:10PM,77.21,64%,380.82,76%,72,0,1,26,94,2.75,0.972,72
*025it*,Jason Adam,SD,RP,109,FA,33,ATL Thu 1:10PM,80.15,44%,380.88,68%,70,0,4,33,85,3.09,1.014,72
*06491*,Orion Kerkering,PHI,RP,249,FA,23,@WSH Thu 1:05PM,67.37,58%,381.5,70%,65,0,4,17,74,2.91,1.077,67
*01gya*,Aroldis Chapman,BOS,RP,302,FA,37,@TEX Thu 1:05PM,64.22,67%,382.21,70%,57,0,14,12,88,3.79,1.281,63
*041r5*,Dustin May,LAD,SP,735,FA,27,DET Thu 4:10PM,35.16,75%,382.73,75%,59,3,0,0,50,4.12,1.271,17
*04tji*,Edwin Uceta,TB,RP,526,FA,27,,48.73,41%,382.87,57%,53,0,5,11,60,4.42,1.358,37
*05133*,Andre Pallante,STL,"SP,RP",166,FA,26,MIN Thu 1:15PM,74.46,81%,383.98,55%,142,15,0,0,111,3.87,1.359,26
*05jqy*,Mitchell Parker,WSH,SP,111,FA,25,PHI Thu 1:05PM,79.97,81%,384.86,65%,154,16,0,0,137,4.03,1.253,30
*02mv0*,Andrew Heaney,PIT,"SP,RP",59,FA,33,@MIA Thu 1:10PM,86.14,79%,386.77,57%,152,17,0,0,150,4.09,1.276,31
*0374o*,Chad Green,TOR,RP,247,FA,33,BAL Thu 12:07PM,67.43,48%,388.37,53%,54,0,17,22,52,3.67,1.13,54
*000dp*,Justin Verlander,SF,SP,231,FA,42,@CIN Thu 1:10PM,68.89,84%,388.48,75%,141,12,0,0,101,4.4,1.433,24
*041rf*,Shane Bieber,CLE,SP,603,FA,29,@KC Thu 1:10PM,43.48,80%,390.39,82%,66,7,0,0,57,3.95,1.242,12
*0312g*,Tyler Mahle,TEX,SP,306,FA,30,BOS Thu 1:05PM,64.03,78%,390.4,54%,103,12,0,0,89,3.93,1.194,21
*04o2w*,Ben Brown,CHC,SP,597,FA,25,@ARI Thu 7:10PM,43.62,76%,393.1,70%,68,1,0,0,77,3.44,1.132,25
*041v6*,Tony Gonsolin,LAD,SP,641,FA,30,DET Thu 4:10PM,40.5,79%,393.88,62%,76,1,0,0,71,4.38,1.342,37
*03qto*,Evan Phillips,LAD,RP,461,FA,30,DET Thu 4:10PM,52.37,40%,394.32,51%,56,0,1,11,62,3.54,1.125,60
*02bxv*,Jon Gray,TEX,SP,174,FA,33,BOS Thu 1:05PM,73.7,78%,395.22,58%,142,13,0,0,125,4.31,1.282,26
*025kd*,Jose Quintana,MIL,SP,98,FA,36,@NYY Thu 12:05PM,80.53,80%,397.94,50%,173,16,0,0,136,4.27,1.358,31
*04k0w*,Camilo Doval,SF,RP,350,FA,27,@CIN Thu 1:10PM,60.26,58%,397.98,67%,66,0,9,6,86,3.41,1.288,69
*04tlv*,Bryan Abreu,HOU,RP,89,FA,27,NYM Thu 1:10PM,81.65,43%,398.09,70%,75,0,6,32,102,3.48,1.187,73
*0311w*,Ben Lively,CLE,SP,198,FA,33,@KC Thu 1:10PM,71.57,77%,399.78,49%,145,13,0,0,118,4.78,1.386,28
*02bve*,Blake Treinen,LAD,RP,382,FA,36,DET Thu 4:10PM,57.28,38%,400.32,41%,55,0,2,14,64,3.27,1.036,58
*05aoc*,Eury Perez,MIA,SP,1007,FA,21,PIT Thu 1:10PM,21.25,65%,401.37,81%,29,3,0,0,36,4.03,1.207,6
*04ywk*,Tylor Megill,NYM,SP,359,FA,29,@HOU Thu 1:10PM,59.63,78%,401.71,52%,110,3,0,0,127,4.01,1.291,43
*04pmb*,Kris Bubic,KC,RP,400,FA,27,CLE Thu 1:10PM,56.13,61%,404.47,54%,76,2,0,5,75,3.43,1.211,38
*02zif*,Ryan Pressly,CHC,RP,361,FA,36,@ARI Thu 7:10PM,59.51,42%,411.19,74%,57,0,20,6,61,3.47,1.175,59
*04eos*,Joey Cantillo,CLE,SP,577,FA,25,@KC Thu 1:10PM,45.09,71%,412.2,55%,64,8,0,0,69,3.94,1.297,14
*066cf*,Zebby Matthews,MIN,SP,721,FA,24,@STL Thu 1:15PM,35.98,68%,412.52,71%,51,6,0,0,49,4.06,1.157,12
