"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Score","%D","ADP","Ros","AB","H","R","HR","RBI","SB","OBP","SLG","GP"
"*03qmh*","Jake Cronenworth","SD","1B,2B","290","FA","31","ATL Thu 1:10PM","65.01","99%","227.7","94%","563","134","76","16","80","5",".325",".391","154"
"*05mdt*","Evan Carter","TEX","OF","427","FA","22","BOS Thu 1:05PM","54.28","98%","228.72","96%","360","89","59","16","48","13",".358",".450","104"
"*04pse*","Brendan Donovan","STL","2B,OF","292","FA","28","MIN Thu 1:15PM","64.95","98%","229.59","96%","575","163","73","15","69","5",".362",".419","146"
"*02i2k*","Byron Buxton","MIN","OF","381","FA","31","@STL Thu 1:15PM","57.33","98%","234.64","95%","376","92","63","22","56","8",".316",".500","97"
"*0310n*","Ryan McMahon","COL","3B","313","FA","30","","63.52","97%","236.23","88%","560","135","65","20","62","6",".328",".404","146"
"*04y95*","JJ Bleday","ATH","OF","324","FA","27","@SEA Thu 7:10PM","62.67","97%","237.1","90%","558","124","73","21","58","5",".323",".405","146"
"*05ahg*","Austin Wells","NYY","C","383","FA","25","MIL Thu 12:05PM","57.15","97%","247.32","91%","402","94","47","18","65","2",".326",".428","113"
"*03qyv*","Jake McCarthy","ARI","OF","342","FA","27","CHC Thu 7:10PM","61.37","97%","248.01","88%","455","121","64","8","49","31",".336",".389","122"
"*041q6*","Nolan Jones","COL","OF","469","FA","26","","51.9","97%","250","89%","381","96","49","14","52","10",".352",".438","105"
"*045gu*","TJ Friedl","CIN","OF","455","FA","29","SF Thu 1:10PM","52.72","96%","251.56","84%","389","93","50","11","56","16",".323",".380","105"
"*05131*","Tyler Fitzgerald","SF","SS,OF","309","FA","27","@CIN Thu 1:10PM","63.76","98%","254.3","91%","486","111","65","17","52","22",".300",".401","122"
"*05xor*","Christian Encarnacion-Strand","CIN","1B","445","FA","25","SF Thu 1:10PM","53.36","96%","255.78","92%","381","99","52","19","62","2",".320",".462","105"
"*03btu*","Willi Castro","MIN","2B,3B,SS,OF","279","FA","27","@STL Thu 1:15PM","65.53","97%","256.99","94%","532","132","84","13","54","18",".328",".400","130"
"*04pbp*","Christopher Morel","TB","2B,3B,OF","183","FA","25","","72.64","97%","261.34","95%","534","126","75","28","79","11",".320",".448","138"
"*02bqh*","Trevor Story","BOS","SS","358","FA","32","@TEX Thu 1:05PM","59.74","96%","261.52","85%","443","105","48","16","58","21",".303",".411","113"
"*03nru*","Jesus Sanchez","MIA","OF","355","FA","27","PIT Thu 1:10PM","59.92","95%","262.53","77%","465","116","58","18","61","13",".318",".426","122"
"*05tce*","Connor Norby","MIA","2B,3B","228","FA","24","PIT Thu 1:10PM","69.14","97%","262.56","95%","544","137","81","21","63","12",".332",".428","138"
"*04pt2*","Lars Nootbaar","STL","OF","433","FA","27","MIN Thu 1:15PM","53.93","97%","265.96","86%","405","100","59","16","49","8",".355",".432","113"
"*01cdf*","Giancarlo Stanton","NYY","UT","385","FA","35","MIL Thu 12:05PM","56.95","96%","267.42","81%","412","92","50","28","73","0",".298",".466","105"
"*04efi*","Connor Wong","BOS","C,1B","351","FA","28","@TEX Thu 1:05PM","60.09","96%","269.97","78%","460","120","59","13","50","9",".319",".409","122"
"*03pjl*","Ryan Mountcastle","BAL","1B","368","FA","28","@TOR Thu 12:07PM","59.05","97%","270.87","91%","478","128","59","18","68","3",".318",".444","122"
"*04en7*","Garrett Mitchell","MIL","OF","354","FA","26","@NYY Thu 12:05PM","59.98","96%","277.02","86%","399","98","62","16","45","24",".333",".441","105"
"*03aoy*","Sean Murphy","ATL","C","407","FA","30","@SD Thu 1:10PM","55.67","93%","281.02","83%","380","91","52","19","56","0",".337",".442","113"
"*060x1*","Wilyer Abreu","BOS","OF","304","FA","25","@TEX Thu 1:05PM","64.19","96%","281.39","89%","451","112","72","18","66","14",".354",".441","122"
"*05gbf*","Jordan Walker","STL","OF","465","FA","22","MIN Thu 1:15PM","52.18","96%","281.77","93%","405","102","56","15","50","8",".322",".425","113"
"*03rmz*","Keibert Ruiz","WSH","C","345","FA","26","PHI Thu 1:05PM","60.49","91%","283.48","75%","497","127","51","16","62","4",".299",".400","130"
"*04pmu*","Ryan Jeffers","MIN","C","360","FA","27","@STL Thu 1:15PM","59.61","94%","283.52","80%","398","95","58","20","60","3",".322",".450","113"
"*05u9z*","Roman Anthony","BOS","OF","834","FA","20","@TEX Thu 1:05PM","29.87","96%","283.82","97%","183","46","26","5","20","7",".357",".410","53"
"*04s1g*","Gabriel Moreno","ARI","C","484","FA","25","CHC Thu 7:10PM","51.32","91%","283.95","84%","386","105","45","7","55","6",".348",".389","97"
"*063vu*","Matt Shaw","CHC","2B,3B,SS","336","FA","23","@ARI Thu 7:10PM","61.82","91%","284.43","98%","439","107","55","14","48","28",".341",".392","125"
"*05yj1*","Nolan Schanuel","LAA","1B","374","FA","23","@CHW Thu 1:10PM","58.48","93%","287.65","85%","530","135","67","11","53","8",".357",".355","146"
"*04o78*","Matt Wallner","MIN","OF","397","FA","27","@STL Thu 1:15PM","56.21","95%","289.09","83%","395","95","55","20","63","5",".359",".466","113"
"*04si2*","Andrew Vaughn","CHW","1B","297","FA","26","LAA Thu 1:10PM","64.46","90%","289.51","80%","584","148","61","21","76","1",".308",".418","146"
"*04yk2*","Spencer Torkelson","DET","1B","676","FA","25","@LAD Thu 4:10PM","38.12","92%","290.24","82%","269","60","37","12","34","1",".315",".420","76"
"*0513c*","Joey Ortiz","MIL","3B,SS","422","FA","26","@NYY Thu 12:05PM","54.46","93%","292.37","82%","459","110","58","11","57","9",".318",".390","130"
"*05ajg*","Ha-seong Kim","TB","SS","527","FA","29","","48.71","92%","295.61","85%","329","82","50","9","40","17",".345",".389","97"
